axis	row	side	outcome	observation
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\ConstructorOverinjectionOptions","enabled":true,"warning":7331,"error":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|list	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|map	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|null	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|string-nonnumber	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.constructor-overinjection.warning|string-number	value	refused-framed	Option "warning" of rule "code-smell.constructor-overinjection" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.error	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":7331,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.error	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":6,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.error|bool	value	refused-framed	Option "error" of rule "code-smell.long-parameter-list" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.code-smell.long-parameter-list.error|float	value	refused-framed	Option "error" of rule "code-smell.long-parameter-list" must be a whole number or null, got a number.
A	form|cli-alias|rules.code-smell.long-parameter-list.error|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":7331,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.error|list	value	refused-framed	Option "error" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.error|map	value	refused-framed	Option "error" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.error|null	value	refused-framed	Option "error" of rule "code-smell.long-parameter-list" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.code-smell.long-parameter-list.error|string-nonnumber	value	refused-framed	Option "error" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.error|string-number	value	refused-framed	Option "error" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":6,"voWarning":8,"voError":7331},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":6,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|bool	value	refused-framed	Option "voError" of rule "code-smell.long-parameter-list" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|float	value	refused-framed	Option "voError" of rule "code-smell.long-parameter-list" must be a whole number or null, got a number.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":6,"voWarning":8,"voError":7331},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|list	value	refused-framed	Option "voError" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|map	value	refused-framed	Option "voError" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|null	value	refused-framed	Option "voError" of rule "code-smell.long-parameter-list" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|string-nonnumber	value	refused-framed	Option "voError" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-error|string-number	value	refused-framed	Option "voError" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":6,"voWarning":7331,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":6,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|bool	value	refused-framed	Option "voWarning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|float	value	refused-framed	Option "voWarning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a number.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":6,"voWarning":7331,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|list	value	refused-framed	Option "voWarning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|map	value	refused-framed	Option "voWarning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|null	value	refused-framed	Option "voWarning" of rule "code-smell.long-parameter-list" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|string-nonnumber	value	refused-framed	Option "voWarning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.vo-warning|string-number	value	refused-framed	Option "voWarning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.warning	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":7331,"error":6,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.warning	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":4,"error":6,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|bool	value	refused-framed	Option "warning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|float	value	refused-framed	Option "warning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a number.
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\LongParameterListOptions","enabled":true,"warning":7331,"error":6,"voWarning":8,"voError":12},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|list	value	refused-framed	Option "warning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|map	value	refused-framed	Option "warning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|null	value	refused-framed	Option "warning" of rule "code-smell.long-parameter-list" must be a whole number or null, got an empty string.
