idx	rule	top_form	top_yaml	level	block_form	block_yaml	level_keys_declared	level_defaults	live_exit	live_level_findings	live_level_severities	live_sibling_findings	live_refusal	call_level_values	call_level_enabled	call_sibling_enabled	call_refusal	block_written	block_effect	live_vs_block_absent	witness	in_declared_population
49	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B9_unknown_key	callable:; no_such_option: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "callable". Options at that level: enabled, error, thres	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "ca	{"no_such_option":1}	refused	refused	live door (refusal) + call	yes
50	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B0_absent	(absent)	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	1		{"enabled":true,"maxWarning":30,"maxError":50}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
51	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B1_tilde	class: ~	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	1		{"enabled":true,"maxWarning":30,"maxError":50}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
52	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B2_empty_map	class: {}	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	1		{"enabled":true,"maxWarning":30,"maxError":50}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
53	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B3_enabled_tilde	class:; enabled: ~	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	1		{"enabled":true,"maxWarning":30,"maxError":50}	True	True		{"enabled":"~(null)"}	applied	same (0)	live door (blind here) + call	yes
54	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B4_enabled_true	class:; enabled: true	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	1		{"enabled":true,"maxWarning":30,"maxError":50}	True	True		{"enabled":true}	applied	same (0)	live door (blind here) + call	yes
55	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B5_enabled_false	class:; enabled: false	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	1		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{"enabled":false}	applied	same (0)	live door (blind here) + call	yes
56	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B6_half_band	class:; max_warning: 1	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	11	{"warning":11}	1		{"enabled":true,"maxWarning":1,"maxError":50}	True	True		{"maxWarning":1}	applied	differs (11 vs 0)	live door + call	yes
57	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B7_full_band	class:; max_warning: 1; max_error: 2	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	2	11	{"warning":10,"error":1}	1		{"enabled":true,"maxWarning":1,"maxError":2}	True	True		{"maxWarning":1,"maxError":2}	applied	differs (11 vs 0)	live door + call	yes
58	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B8_threshold_in_block	class:; threshold: 1	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	2	11	{"error":11}	1		{"enabled":true,"maxWarning":1,"maxError":1}	True	True		{"maxWarning":1,"maxError":1}	applied	differs (11 vs 0)	live door + call	yes
59	complexity.ccn	T2_threshold_tilde	threshold: ~	class	B9_unknown_key	class:; no_such_option: 1	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	3	0	{}	0	Configuration error: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "class". Options at that level: enabled, max-error, max-	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "cl	{"no_such_option":1}	refused	refused	live door (refusal) + call	yes
60	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B0_absent	(absent)	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
61	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B1_tilde	callable: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
62	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B2_empty_map	callable: {}	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
63	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B3_enabled_tilde	callable:; enabled: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"enabled":"~(null)"}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
64	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B4_enabled_true	callable:; enabled: true	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"enabled":true}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
65	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B5_enabled_false	callable:; enabled: false	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"enabled":false}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
66	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B6_half_band	callable:; warning: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"warning":1}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
67	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B7_full_band	callable:; warning: 1; error: 2	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"warning":1,"error":2}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
68	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B8_threshold_in_block	callable:; threshold: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"warning":1,"error":1}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
69	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	callable	B9_unknown_key	callable:; no_such_option: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"no_such_option":1}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
70	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	class	B0_absent	(absent)	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
71	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	class	B1_tilde	class: ~	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
72	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	class	B2_empty_map	class: {}	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
73	complexity.ccn	T3_top_graduated_pair	warning: 100000; error: 200000	class	B3_enabled_tilde	class:; enabled: ~	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	3	0	{}	0	Configuration error: Option "warning" is not an option of rule "complexity.ccn". Options here: callable, class, enabled, suppress-namespace-channels, 	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "warning" is not an option of rule "complexity.ccn". Options here: ca	{"enabled":"~(null)"}	refused	refused	live door (refusal) + call	no (undeclared-key refusal probe)
